Country/Region,Capital,Continent,Population,Land Area (km^2),,,,
San Marino,San Marino,Europe,"33,931",60,,,,
São Tomé and Príncipe,São Tomé,Africa,"219,159",960,,,,
Saudi Arabia,Riyadh,Asia,"34,813,871","2,149,690",,,,
Senegal,Dakar,Africa,"16,743,927","192,530",,,,
Serbia,Belgrade,Europe,"8,737,371","87,460",,,,
Seychelles,Victoria,Africa,"98,347",460,,,,
Sierra Leone,Freetown,Africa,"7,976,983","72,180",,,,
Singapore,Singapore,Asia,"5,850,342",700,,,,
Slovakia,Bratislava,Europe,"5,459,642","48,088",,,,
Slovenia,Ljubljana,Europe,"2,078,938","20,140",,,,
Solomon Islands,Honiara,Oceania,"686,884","27,990",,,,
Somalia,Mogadishu,Africa,"15,893,222","627,340",,,,
South Africa,Pretoria,Africa,"59,308,690","1,213,090",,,,
South Sudan,Juba,Africa,"11,193,725","610,952",,,,
Spain,Madrid,Europe,"46,754,778","498,800",,,,
Sri Lanka,Sri Jayawardenapura Kotte,Asia,"21,413,249","62,710",,,,
St. Vincent & Grenadines,Kingstown,North America,"110,940",390,,,,
State of Palestine,Jerusalem,Asia,"5,101,414","6,020",,,,
Sudan,Khartoum,Africa,"43,849,260","1,765,048",,,,
Sudan,Khartoum,Africa,"586,632","156,000",,,,
Sweden,Stockholm,Europe,"10,099,265","410,340",,,,
Switzerland,Bern,Europe,"8,654,622","39,516",,,,
Syria,Damascus,Asia,"17,500,658","183,630",,,,
Tajikistan,Dushanbe,Asia,"9,537,645","139,960",,,,
Tanzania,Dodoma,Africa,"59,734,218","885,800",,,,
Thailand,Bangkok,Asia,"69,799,978","510,890",,,,
Timor-Leste,Dili,Asia,"1,318,445","14,870",,,,
Korea North,Pyongyang,Asia,"25,944,051","120,410",,,,
Korea South,Seoul,Asia,"51,333,263","97,236",,,,
Kosovo,Pristina,Europe,"1,768,893","10,887",,,,
Togo,Lomé,Africa,"8,278,724","54,390",,,,
Tonga,Nukualofa,Oceania,"105,695",720,,,,
Trinidad and Tobago,Port of Spain,America,"1,399,488","5,130",,,,
Tunisia,Tunis,Africa,"11,818,619","155,360",,,,
Turkey,Ankara,Asia,"84,339,067","769,630",,,,
Turkmenistan,Ashgabat,Asia,"6,031,200","469,930",,,,
Tuvalu,Funafuti,Oceania,"11,792",30,,,,
Uganda,Kampala,Africa,"45,741,007","199,810",,,,
Ukraine,Kiev,Europe,"43,733,762","579,320",,,,
United Arab Emirates,Abu Dhabi,Asia,"9,890,402","83,600",,,,
United Kingdom,London,Europe,"67,886,011","241,930",,,,
United States,Washington D.C.,America,"331,002,651","9,147,420",,,,
Uruguay,Montevideo,America,"3,473,730","175,020",,,,
Uzbekistan,Tashkent,Asia,"33,469,203","425,400",,,,
Vanuatu,Port Vila,Oceania,"307,145","12,190",,,,
Venezuela,Caracas,America,"28,435,940","882,050",,,,
Vietnam,Hanoi,Asia,"97,338,579","310,070",,,,
Yemen,Sana'a,Asia,"29,825,964","527,970",,,,
Zambia,Lusaka,Africa,"18,383,955","743,390",,,,
Zimbabwe,Harare,Africa,"14,862,924","386,850",,,,
